sample_name,genome,tag,input_id,input_value,input_type,md5
MusaAcuminata_v2_0-fasta-default,MusaAcuminata_v2_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/mac.fasta.gz,files,13407ead82895f092e1e41c908f8c038
MicromonasCommoda-fasta-default,MicromonasCommoda,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/mco.con.gz,files,ebdaa1d8ccda0dd2150f42db8c7ce84e
MalusDomestica_IASMA-fasta-default,MalusDomestica_IASMA,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/mdo.con.gz,files,9f89e766d5d56a9384303f4e26fe50d0
MalusDomestica-fasta-default,MalusDomestica,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/mdo.con.gz,files,488a4ffef7a0d73e0a88dc65376f01f8
ManihotEsculenta-fasta-default,ManihotEsculenta,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/mes.con.gz,files,aeb26db55aeb9b3103aefbe411716a79
MarchantiaPolymorpha-fasta-default,MarchantiaPolymorpha,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/mpo.con.gz,files,bc7119cf2b1fb93b337a00531b5e4bdb
MicromonasPusilla-fasta-default,MicromonasPusilla,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/mpu.fasta.gz,files,3c249fdb91f5f08b288b7ad6bb2aca0f
Micromonas-fasta-default,Micromonas,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/mrcc299.fasta.gz,files,816b6ded30370b66052a3c69fee79c5b
MedicagoTruncatula_JCVI_v4_0-fasta-default,MedicagoTruncatula_JCVI_v4_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/mtr.con.gz,files,a93e36442d69a39bba57f5c7c5c02983
MedicagoTruncatula_Mt4_0_v1-fasta-default,MedicagoTruncatula_Mt4_0_v1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/mtr.con.gz,files,02536fb2669097170ae080bccc12cbc0
